,0,1
0,Iterations:,Max Mismatch:
1,1.0,9059963.339933656
2,2.0,48755384244.04678
3,3.0,1.4190105486091907e+18
4,4.0,2.8574878602344366e+35
5,5.0,5.482280145131347e+56
6,6.0,8.994771541565662e+94
7,7.0,3.4885320165363954e+167
8,8.0,9.432161681582512e+295
9,9.0,nan
