,0
0,-6.533098724683757e+146
1,-1.7887767352795532e+146
2,
3,
4,
5,
6,
7,
8,9.458496037245439e+259
9,
10,-1.4319960297566456e+261
11,
12,
13,
14,
15,
16,
17,
